molecule_chembl_id,smiles_clean,pKi_mean_value,pKi_first_value,target_organism
CHEMBL2364573,NC(=O)c1ccc[n+]([C@H]2O[C@@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@H](O)[C@@H]2O)c1,8.327902142064282,8.327902142064282,Plasmodium falciparum K1
CHEMBL324775,CCCCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.508638306165727,8.508638306165727,Plasmodium falciparum K1
CHEMBL416373,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL291931,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,8.142667503568731,8.142667503568731,Plasmodium falciparum K1
CHEMBL119188,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,9.221848749616356,9.221848749616356,Plasmodium falciparum K1
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,6.339049188669717,8.585026652029182,Plasmodium falciparum K1
CHEMBL29773,CCc1nc(N)nc(N)c1-c1cccc(OC)c1,7.732007409634417,8.97061622231479,Plasmodium falciparum K1
CHEMBL30937,CCCCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.7495799976911055,7.7495799976911055,Plasmodium falciparum K1
CHEMBL22138,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1,8.769551078621726,8.769551078621726,Plasmodium falciparum K1
CHEMBL56146,Nc1ncc(Cc2ccc(OCc3ccccc3)cc2)c(N)n1,8.187086643357144,8.187086643357144,Plasmodium falciparum K1
CHEMBL119086,CCCOc1cc(Cc2c(N)nc(N)nc2CC)ccc1OCc1cc(OC)c(OC)c(OC)c1,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,7.4179366370882915,7.4179366370882915,Plasmodium falciparum K1
CHEMBL326989,CCCOc1ccc(Cc2cnc(N)nc2N)cc1,7.82102305270683,7.82102305270683,Plasmodium falciparum K1
CHEMBL22139,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL274031,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,8.200659450546418,8.200659450546418,Plasmodium falciparum K1
CHEMBL118581,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.602059991327963,8.602059991327963,Plasmodium falciparum K1
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,8.275724130399212,8.275724130399212,Plasmodium falciparum K1
CHEMBL22137,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,8.431798275933005,8.431798275933005,Plasmodium falciparum K1
CHEMBL19023,COc1ccc(Cc2cnc(N)nc2N)cc1,7.628932137728263,7.628932137728263,Plasmodium falciparum K1
CHEMBL119189,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1OCC,8.795880017344075,8.795880017344075,Plasmodium falciparum K1
CHEMBL118668,Nc1ncc(Cc2ccc(OCCCc3ccccc3)cc2)c(N)n1,8.229147988357855,8.229147988357855,Plasmodium falciparum K1
CHEMBL278847,CCc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.733415552933136,9.522878745280336,Plasmodium falciparum K1
CHEMBL333779,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,9.0,9.0,Plasmodium falciparum K1
CHEMBL118425,Nc1ncc(Cc2ccc(OCCCOCCCOc3ccccc3)cc2)c(N)n1,8.154901959985743,8.154901959985743,Plasmodium falciparum K1
CHEMBL416376,COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC,8.886056647693163,8.886056647693163,Plasmodium falciparum K1
CHEMBL118652,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL118602,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OC)c1,8.455931955649724,8.455931955649724,Plasmodium falciparum K1
CHEMBL118202,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCCCOCCCOc1ccccc1,8.638272163982407,8.638272163982407,Plasmodium falciparum K1
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,7.987162775294828,7.987162775294828,Plasmodium falciparum K1
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,8.366531544420413,8.366531544420413,Plasmodium falciparum K1
CHEMBL19633,COc1ccc(Cc2cnc(N)nc2N)cc1OC,7.939302159646388,7.939302159646388,Plasmodium falciparum K1
CHEMBL22327,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCc1ccccc1,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL119568,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,8.187086643357144,8.187086643357144,Plasmodium falciparum K1
CHEMBL119669,CCCCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.657577319177793,8.657577319177793,Plasmodium falciparum K1
CHEMBL22146,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,8.657577319177793,8.657577319177793,Plasmodium falciparum K1
CHEMBL22811,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.221848749616356,9.221848749616356,Plasmodium falciparum K1
CHEMBL22901,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,9.522878745280336,9.522878745280336,Plasmodium falciparum K1
CHEMBL120123,COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc1ccccc1,8.468521082957745,8.468521082957745,Plasmodium falciparum K1
CHEMBL118870,CCCCCOc1ccc(Cc2cnc(N)nc2N)cc1,8.065501548756432,8.065501548756432,Plasmodium falciparum K1
CHEMBL419231,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL332013,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,7.812479279163536,7.812479279163536,Plasmodium falciparum K1
CHEMBL279948,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,8.065501548756432,8.065501548756432,Plasmodium falciparum K1
CHEMBL115483,COc1cc(Cc2cnc(N)nc2N)ccc1OCCCOc1ccccc1,8.698970004336019,8.698970004336019,Plasmodium falciparum K1
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,6.942313153336918,8.823908740944319,Plasmodium falciparum K1
CHEMBL21395,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1,9.070581074285707,9.096910013008056,Plasmodium falciparum K1
CHEMBL7004,Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,8.769551078621726,8.744727494896694,Plasmodium falciparum K1
CHEMBL433204,CC(C)(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,5.415895029600547,5.415895029600547,Plasmodium falciparum K1
CHEMBL92182,Cc1ccc(N2C(N)=NC(N)=NC2C)cc1,7.638272163982407,7.638272163982407,Plasmodium falciparum K1
CHEMBL89959,CCC1N=C(N)N=C(N)N1c1ccc(C)cc1,8.229147988357855,8.229147988357855,Plasmodium falciparum K1
CHEMBL90292,CCCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.431798275933005,8.431798275933005,Plasmodium falciparum K1
CHEMBL93153,CC1N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.853871964321762,8.853871964321762,Plasmodium falciparum K1
CHEMBL94281,CC(C)C1N=C(N)N=C(N)N1c1ccc(Br)cc1,7.522878745280337,7.522878745280337,Plasmodium falciparum K1
CHEMBL93001,NC1=NCN(c2ccc(F)cc2)C(N)=N1,6.747146969020107,6.568636235841012,Plasmodium falciparum K1
CHEMBL90703,CCCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.337242168318426,8.337242168318426,Plasmodium falciparum K1
CHEMBL90358,Cc1ccc(N2C(N)=NC(N)=NC2C(C)C)cc1,6.777283528852417,6.777283528852417,Plasmodium falciparum K1
CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.387216143280265,8.387216143280265,Plasmodium falciparum K1
CHEMBL93974,NC1=NC(c2ccccc2)N(c2ccc(Cl)c(Cl)c2)C(N)=N1,8.795880017344075,8.795880017344075,Plasmodium falciparum K1
CHEMBL92583,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)c(Cl)c1,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL93893,NC1=NC(c2ccccc2)N(c2ccc(Br)cc2)C(N)=N1,8.537602002101044,8.537602002101044,Plasmodium falciparum K1
CHEMBL6742,CC1(C)N=C(N)N=C(N)N1c1ccccc1,7.096910013008056,7.698970004336019,Plasmodium falciparum K1
CHEMBL13636,CC1N=C(N)N=C(N)N1c1cccc(Cl)c1,7.991399828238082,7.991399828238082,Plasmodium falciparum K1
CHEMBL7005,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,7.058985756294431,8.337242168318426,Plasmodium falciparum K1
CHEMBL6741,CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,8.939302159646388,8.958607314841775,Plasmodium falciparum K1
CHEMBL93889,NC1=NC(c2ccccc2)N(c2ccc(Cl)cc2)C(N)=N1,8.346787486224656,8.346787486224656,Plasmodium falciparum K1
CHEMBL443013,CCCC1N=C(N)N=C(N)N1c1ccc(C)cc1,7.863279432843593,7.863279432843593,Plasmodium falciparum K1
CHEMBL92846,NC1=NCN(c2ccccc2)C(N)=N1,6.684029654543082,6.482804102050025,Plasmodium falciparum K1
CHEMBL90018,NC1=NCN(c2ccc(Cl)cc2)C(N)=N1,7.898940645091884,7.61261017366127,Plasmodium falciparum K1
CHEMBL93888,CCCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.585026652029182,8.585026652029182,Plasmodium falciparum K1
CHEMBL329687,NC1=NC(c2ccccc2)N(c2cccc(Cl)c2)C(N)=N1,7.931814138253838,7.931814138253838,Plasmodium falciparum K1
CHEMBL90461,CCC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.244125144327509,8.244125144327509,Plasmodium falciparum K1
CHEMBL92047,CCC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.443697499232712,8.443697499232712,Plasmodium falciparum K1
CHEMBL91345,Cc1ccc(N2C(N)=NC(N)=NC2c2ccccc2)cc1,8.113509274827518,8.113509274827518,Plasmodium falciparum K1
CHEMBL264392,CC(C)C1N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.218244625347531,7.218244625347531,Plasmodium falciparum K1
CHEMBL93748,CC1N=C(N)N=C(N)N1c1ccc(Br)cc1,8.244125144327509,8.244125144327509,Plasmodium falciparum K1
CHEMBL7130,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.491694780636661,8.431798275933005,Plasmodium falciparum K1
CHEMBL365894,N/C(=N/O)c1ccc(Oc2c(Cl)cncc2Cl)cc1,4.751221284624212,4.598599459218456,Plasmodium falciparum K1
CHEMBL95274,N/C(=N\O)c1ccc(CNC(=O)c2ccc(Cl)cc2)cc1,4.319276087857594,4.112382699664264,Plasmodium falciparum K1
CHEMBL97598,C/C(=N\N=C(/N)S)c1ccc(Oc2c(Cl)cncc2Cl)cc1,5.93128418763054,6.045757490560675,Plasmodium falciparum K1
CHEMBL94470,N=C(S)N/N=C/c1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4.94692155651658,5.2839966563652006,Plasmodium falciparum K1
CHEMBL243185,NC(=S)N/N=C/c1ccccc1,4.52432881167557,4.627087997029894,Plasmodium falciparum K1
CHEMBL95609,N/C(=N\O)c1cccc(CS(=O)(=O)c2ccc(Cl)cc2)c1,4.225691629127479,3.991399828238082,Plasmodium falciparum K1
CHEMBL186838,N/C(=N/O)c1ccc(Oc2cc(Cl)cc(Cl)c2)c([N+](=O)[O-])c1,4.804891412439546,5.619788758288394,Plasmodium falciparum K1
CHEMBL95783,N/N=C(\S)Nc1ccc(OCc2ccccc2)cc1,4.725182629756266,4.863279432843593,Plasmodium falciparum K1
CHEMBL95615,C=CCNC(=S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.013164309547511,4.818156412055227,Plasmodium falciparum K1
CHEMBL323554,C/N=C(\S)NNC(=O)c1cccn(Cc2cccc(Cl)c2)c1=O,5.066946789630613,4.94692155651658,Plasmodium falciparum K1
CHEMBL95567,NNc1nc2ccccc2nc1NN,5.240871986929786,5.443697499232712,Plasmodium falciparum K1
CHEMBL95725,COC(=O)c1sccc1-c1ccc(/C(C)=N/NC(N)=O)o1,4.87942606879415,5.013228265733755,Plasmodium falciparum K1
CHEMBL280410,COc1cc(COc2cc(Cc3cnc(N)nc3N)ccc2OCc2ccccc2)cc(OC)c1OC,7.91721462968355,7.91721462968355,Plasmodium falciparum K1
CHEMBL21799,CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,9.031517051446064,9.0,Plasmodium falciparum K1
CHEMBL279492,Nc1ncc(-c2ccc(Cl)cc2)c(N)n1,8.804100347590767,8.619788758288394,Plasmodium falciparum K1
CHEMBL279986,CCc1nc(N)nc(N)c1-c1ccc(-c2ccccc2)cc1,6.856985199745905,6.72584215073632,Plasmodium falciparum K1
CHEMBL22405,COC(=O)CCCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,9.607889534988686,9.522878745280336,Plasmodium falciparum K1
CHEMBL22271,CCOc1c(Br)cc(-c2c(N)nc(N)nc2CC)cc1Br,7.657577319177793,8.154901959985743,Plasmodium falciparum K1
CHEMBL21494,COC(=O)CCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,9.30102999566398,9.30102999566398,Plasmodium falciparum K1
CHEMBL282275,CCc1nc(N)nc(N)c1-c1ccc(Br)cc1,9.244125144327509,9.522878745280336,Plasmodium falciparum K1
CHEMBL22693,Nc1nc(N)c(-c2ccccc2)c(CCCc2ccccc2)n1,9.30102999566398,9.30102999566398,Plasmodium falciparum K1
CHEMBL21357,Cc1nc(N)nc(N)c1-c1ccc(Cl)cc1,8.847711655616944,8.698970004336019,Plasmodium falciparum K1
CHEMBL21691,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCCc2ccccc2)n1,9.146707481370472,9.154901959985745,Plasmodium falciparum K1
CHEMBL278813,COc1ccc(CCCc2nc(N)nc(N)c2-c2cccc(Cl)c2)cc1,8.289600533883199,8.657577319177793,Plasmodium falciparum K1
CHEMBL21778,CCc1nc(N)nc(N)c1-c1ccc(C)cc1,9.198367653766834,9.397940008672036,Plasmodium falciparum K1
CHEMBL21885,CCc1nc(N)nc(N)c1-c1ccc(C(C)(C)C)cc1,9.164309428507574,9.221848749616356,Plasmodium falciparum K1
CHEMBL22403,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCOCCCOc2ccccc2)n1,8.337242168318426,9.397940008672036,Plasmodium falciparum K1
CHEMBL25112,Nc1ncc(Cc2ccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)cc2)c(N)n1,9.045757490560677,9.045757490560677,Plasmodium falciparum K1
CHEMBL281412,CCc1nc(N)nc(N)c1-c1ccc(OC)cc1,8.958607314841775,9.045757490560677,Plasmodium falciparum K1
CHEMBL22148,CCc1nc(N)nc(N)c1-c1ccccc1,7.457589570188407,8.638272163982407,Plasmodium falciparum K1
CHEMBL434771,CCc1nc(N)nc(N)c1-c1ccc2c(c1)OCO2,7.606717349440635,8.958607314841775,Plasmodium falciparum K1
CHEMBL22357,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1Cl,8.170053304058364,7.899629454882437,Plasmodium falciparum K1
CHEMBL21408,Cc1nc(N)nc(N)c1-c1ccccc1,7.2186036948032095,7.962573502059376,Plasmodium falciparum K1
CHEMBL416552,CCCCCCc1nc(N)nc(N)c1-c1ccccc1,8.451815389454893,9.522878745280336,Plasmodium falciparum K1
CHEMBL21690,Nc1ncc(-c2ccccc2)c(N)n1,7.149047600206507,7.377785977033705,Plasmodium falciparum K1
CHEMBL21414,Nc1ncc(-c2cccc(Cl)c2)c(N)n1,7.390939450069913,8.200659450546418,Plasmodium falciparum K1
CHEMBL21921,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1,7.829738284605042,8.920818753952375,Plasmodium falciparum K1
CHEMBL22039,Cc1nc(N)nc(N)c1-c1cccc(Cl)c1,7.53860152954317,8.721246399047171,Plasmodium falciparum K1
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,8.42790323204948,9.221848749616356,Plasmodium falciparum K1
CHEMBL22129,CCc1nc(N)nc(N)c1-c1ccc(OCc2ccc(Cl)cc2Cl)c(OC)c1,8.275724130399212,9.0,Plasmodium falciparum K1
CHEMBL279509,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1,8.3767507096021,8.3767507096021,Plasmodium falciparum K1
CHEMBL161117,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL346932,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)c2ccccc2)n1,8.823908740944319,8.823908740944319,Plasmodium falciparum K1
CHEMBL158639,CCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,8.337242168318426,8.337242168318426,Plasmodium falciparum K1
CHEMBL346982,CCCOc1ccc(C2N=C(N)N=C(N)N2c2cccc(Cl)c2)cc1,8.481486060122112,8.481486060122112,Plasmodium falciparum K1
CHEMBL352195,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,8.853871964321762,8.853871964321762,Plasmodium falciparum K1
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.744727494896694,8.744727494896694,Plasmodium falciparum K1
CHEMBL159052,NC1=NC(c2cccc(OCCCOc3cc(Cl)c(Cl)cc3Cl)c2)N(c2cccc(Cl)c2)C(N)=N1,8.397940008672037,8.397940008672037,Plasmodium falciparum K1
CHEMBL444605,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,8.508638306165727,8.508638306165727,Plasmodium falciparum K1
CHEMBL354011,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.638272163982407,8.638272163982407,Plasmodium falciparum K1
CHEMBL161009,CCCCCCC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,8.619788758288394,8.619788758288394,Plasmodium falciparum K1
CHEMBL347190,CC(=O)OCCCc1nc(N)nc(N)c1-c1ccccc1,7.97469413473523,7.97469413473523,Plasmodium falciparum K1
CHEMBL158054,CCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,8.455931955649724,8.455931955649724,Plasmodium falciparum K1
CHEMBL159032,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.30102999566398,9.30102999566398,Plasmodium falciparum K1
CHEMBL158691,CC(C)C1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,7.5934598195660445,7.5934598195660445,Plasmodium falciparum K1
CHEMBL345146,CC(C)C1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,7.437707135543525,7.437707135543525,Plasmodium falciparum K1
CHEMBL161451,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2cccc(Cl)c2)C(N)=N1,9.154901959985745,9.154901959985745,Plasmodium falciparum K1
CHEMBL351099,NC1=NC(c2cccc(OCc3ccccc3)c2)N(c2ccc(Cl)cc2)C(N)=N1,9.154901959985745,9.154901959985745,Plasmodium falciparum K1
CHEMBL159040,Nc1nc(N)c(-c2ccccc2)c(CCCO)n1,7.070581074285707,7.070581074285707,Plasmodium falciparum K1
CHEMBL422005,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCO)n1,8.036212172654444,8.036212172654444,Plasmodium falciparum K1
CHEMBL352441,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,8.920818753952375,8.920818753952375,Plasmodium falciparum K1
CHEMBL158570,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.886056647693163,8.886056647693163,Plasmodium falciparum K1
CHEMBL346963,CCCCCCCC1N=C(N)N=C(N)N1c1cccc(Cl)c1,8.568636235841012,8.568636235841012,Plasmodium falciparum K1
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,8.568636235841012,8.568636235841012,Plasmodium falciparum K1
CHEMBL162126,Nc1nc(N)c(-c2ccccc2)c(CCCOC(=O)c2ccccc2)n1,8.468521082957745,8.468521082957745,Plasmodium falciparum K1
CHEMBL161673,CCCCCCC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,9.221848749616356,9.221848749616356,Plasmodium falciparum K1
CHEMBL161034,NC1=NC(c2ccc(Oc3ccccc3)cc2)N(c2ccc(Cl)cc2)C(N)=N1,9.397940008672036,9.397940008672036,Plasmodium falciparum K1
CHEMBL129788,CC1(C)N=C(N)N=C(N)N1OCCCOc1cc(Cl)c(Cl)cc1Cl,8.958607314841775,8.958607314841775,Plasmodium falciparum K1
CHEMBL185800,Cc1cc2nc3n(c2cc1C)C(C)(C)NC(N)=N3,6.7447274948966935,6.7447274948966935,Plasmodium falciparum K1
CHEMBL365481,Cc1[nH]c(N)cc2nc3ccccc3c1-2,5.638272163982407,5.638272163982407,Plasmodium falciparum K1
